,ProductID,Description,Name,Type,Color,Size,Image
43,502.160.74,"All soft toys are good at hugging, comforting and listening and are fond of play and mischief. In addition, they are reliable and tested for safety.",VANDRING RV,"Soft toy, set of 2",Not known,Not known,images/objects/502.160.74.jpg
44,202.948.79,"Moving blocks with a crane and pulling it around on a truck is so much fun. Playing this way helps build up dexterity, logical thinking and hand-eye coordination.",MULA,Crane with blocks,"Multicolour,beech",Not known,images/objects/202.948.79.jpg
45,002.948.75,"Theyre all the same colour, yet dont look the same. How come? These bricks make it fun for your child to learn about shapes and colours.",MULA,24 building blocks with wagon,Not known,Not known,images/objects/002.948.75.jpg
46,102.948.89,"Why wont this block fit in that hole? Oh, its a different shape! This shape sorter helps your child to play their way to understanding about different shapes and colours.",MULA,Shape sorter,Multicolour,Not known,images/objects/102.948.89.jpg
47,102.485.19,The cot base can be placed at two different heights.,GULLIVER,Cot,White,60x120 cm,images/objects/102.485.19.jpg
48,902.902.03,"Cotton, soft and nice against your child's skin.",HJRTEVN,"Quilt cover,pillowcase for cot","White,beige","110x125,35x55 cm",images/objects/902.902.03.jpg
49,402.662.34,"Stimulates the baby's sight, hearing and sense of touch.",LEKA,"Musical toy, sheep",Not known,Not known,images/objects/402.662.34.jpg
50,602.662.28,"Low sound level, adapted to sensitive baby ears.",LEKA,Rattle,Cat,Not known,images/objects/602.662.28.jpg
51,400.545.38,"Cotton, soft and nice against your child's skin.",KRAMA,Washcloth,White,30x30 cm,images/objects/400.545.38.jpg
52,701.286.13,The elastic keeps the sheet in place so that your baby can sleep safely and wont wake up with the sheet around their body.,LEN,Fitted sheet,White,70x160 cm,images/objects/701.286.13.jpg
53,202.479.82,"You can use the space under the bed for working or studying by completing with SVRTA desk top, or create a cosy spot for seating.",SVRTA,Loft bed frame,Silver-colour,90x200 cm,images/objects/202.479.82.jpg
54,202.479.82,"You can use the space under the bed for working or studying by completing with SVRTA desk top, or create a cosy spot for seating.",SVRTA,Loft bed frame,Silver-colour,90x200 cm,images/objects/202.479.82.jpg
55,202.498.96,"A space solution for working or studying, to be fitted onto the sides under SVRTA loft bed.",SVRTA,Desk top,Silver-colour,Not known,images/objects/202.498.96.jpg
56,202.731.36,"Cotton, soft and nice against your child's skin.",PIMPLA,Quilt cover and pillowcase,Grey,"150x200,50x80 cm",images/objects/202.731.36.jpg
57,490.289.03,Low storage makes it easier for children to reach and organise their things.,STUVA,Chest of 3 drawers,Birch,60x64 cm,images/objects/490.289.03.jpg
58,490.912.49,You sit comfortably since the chair is adjustable in height.,JULES,Junior desk chair,"Blue,silver-colour",Not known,images/chair/490.912.49.jpg
59,091.025.32,"A playful and sturdy storage series for storing and organising toys, sitting, playing and relaxing.",TROFAST,Storage combination with boxes,"Pine,white",94x44x52 cm,images/objects/091.025.32.jpg
60,503.080.02,Fits in TROFAST frames.,TROFAST,Storage box,Yellow,42x30x10 cm,images/objects/503.080.02.jpg
61,602.633.43,2 functions in one  lamp with cosy mood light and stool that you can sit on.,IKEA PS 2014,"LED stool lamp, in,outdoor",White,Not known,images/objects/602.633.43.jpg
62,902.726.66,"The latex backing keeps the rug in place when the child runs,plays on it.",SNABBFOTAD,"Rug, low pile",Grey,133x160 cm,images/objects/902.726.66.jpg
63,802.733.60,"Easy to clean; machine wash, warm (40C).",FUFFENS,Cushion,Grey,57 cm,images/objects/802.733.60.jpg
64,802.925.75,"The steel mesh creates shadows and texture, giving the hands and clock face a feeling of dimension.",SIPPRA,Wall clock,Grey,Not known,images/objects/802.925.75.jpg
65,902.257.93,Easy to mount on the wall. You can either fasten the knobs to the wall using the self-adhesive backing or screw them into the wall.,LOSJN,Hanger,Assorted colours,Not known,images/objects/902.257.93.jpg
66,902.636.00,Suitable for storing small things like desk accessories and rechargers.,TJENA,Box with lid,Black,13x26x10 cm,images/objects/902.636.00.jpg
67,702.669.87,Easy to use in different places as you can power the lamp through the USB port on your computer or an ordinary power socket.,HRTE,LED work lamp,"Black,silver-colour",Not known,images/objects/702.669.87.jpg
68,800.985.83,"A perfect place to keep pens, pencils and small accessories.",GLIS,Box with lid,"White,light green,blue",17x10 cm,images/objects/800.985.83.jpg
69,402.733.62,Decorative textile noticeboard that you can hang on the wall horizontally or vertically.,SKRAMMEL,Noticeboard,Grey,74x55 cm,images/objects/402.733.62.jpg
70,202.919.94,Easy to pull out and lift as the magazine file has a cut-out handle.,TJENA,Magazine file,White,Not known,images/objects/202.919.94.jpg
71,002.735.33,Ideal to store sports equipment. The bag can be also used as laundry bag.,PSIG,Storage bag,Not known,Not known,images/objects/002.735.33.jpg
72,402.958.73,"The picture has extra depth and life, because it's printed on high quality canvas.",PJTTERYD,"Picture, set of 3",Global travels,25x25 cm,images/objects/402.958.73.jpg
73,302.454.83,4 colourful door tags printed on both sides for a total of 8 different patterns.,RETSAM,Door tag,Assorted designs,Not known,images/objects/302.454.83.jpg
74,902.829.53,Gives good support when reading or playing computer games.,BOLLSINNE,Soft toy,Black,22 cm,images/objects/902.829.53.jpg
75,502.015.34,The cot base can be placed at two different heights.,GONATT,Cot,White,60x120 cm,images/objects/502.015.34.jpg
76,203.070.37,Comfortable height for changing the baby.,GULLIVER,Changing table,White,Not known,images/dining table/203.070.37.jpg
77,203.070.37,Comfortable height for changing the baby.,GULLIVER,Changing table,White,Not known,images/dining table/203.070.37.jpg
78,001.286.21,Deep enough to hold standard-sized adult hangers.,STUVA,Frame,White,60x50x128 cm,images/objects/001.286.21.jpg
79,301.286.91,With STUVA GRUNDLIG interior fittings you can easily store and organise your things.,STUVA GRUNDLIG,Wire basket,White,60x49x13 cm,images/objects/301.286.91.jpg
80,201.286.96,With STUVA GRUNDLIG interior fittings you can easily store and organise your things.,STUVA GRUNDLIG,Shelf,White,56x26 cm,images/objects/201.286.96.jpg
81,602.519.91,"Cotton, soft and nice against your child's skin.",LEKLYSTEN,"Quilt cover,pillowcase for cot",White,"110x125,35x55 cm",images/objects/602.519.91.jpg
82,303.323.43,"The rugs thick piles dampens sound, creating a snug feeling, and are soft to walk on for all sizes of feet.",HEMMAHOS,Rug,Green,133x133 cm,images/objects/303.323.43.jpg
83,702.735.96,"Your childs things wont fall off, thanks to the cone-shaped knobs.",FLISAT,Knob rack with 4 knobs,Not known,Not known,images/objects/702.735.96.jpg
84,603.279.34,Fits perfectly in STUVA storage system or as a freestanding box for small items or clothes.,SLKTING,Box,Grey,38x42x33 cm,images/objects/603.279.34.jpg
85,403.279.73,Fits perfectly in STUVA storage system or as a freestanding box for small items or clothes.,SLKTING,Box,"Grey,orange",Not known,images/objects/403.279.73.jpg
86,203.288.22,"Ideal for storing small things on the desk, hobby beads, and small toys.",KNATTING,"Basket, set of 4",Light grey,Not known,images/objects/203.288.22.jpg
87,302.835.78,When walking by itself the child develops motor skill and balance.,MULA,Toddle truck,"Green,birch",Not known,images/objects/302.835.78.jpg
88,202.948.84,Moving wooden beads on a track is a fun way to learn about colours and shapes.,MULA,Bead roller coaster,Not known,Not known,images/objects/202.948.84.jpg
89,702.519.95,"Cotton, soft and nice against your child's skin.",BARNKR,Blanket,"White,green",110x125 cm,images/objects/702.519.95.jpg
90,101.327.88,"All soft toys are good at hugging, comforting and listening and are fond of play and mischief. In addition, they are reliable and tested for safety.",GOSIG GOLDEN,Soft toy,"Dog,golden retriever",70 cm,images/objects/101.327.88.jpg
91,502.831.05,You can use this window catch for windows that open inwards or outwards as well as for sliding windows.,PATRULL,Window catch,White,Not known,images/objects/502.831.05.jpg
92,202.253.34,This changing table grows with your child and easily converts into a desk or a play surface. Lower the top to the desired height and transform it into a desk.,STUVA,"Changing table,desk",White,Not known,images/dining table/202.253.34.jpg
93,202.253.34,This changing table grows with your child and easily converts into a desk or a play surface. Lower the top to the desired height and transform it into a desk.,STUVA,"Changing table,desk",White,Not known,images/dining table/202.253.34.jpg
94,391.805.66,The cot base can be placed at two different heights.,"STUVA,FLJA",Cot with drawers,White,60x120 cm,images/objects/391.805.66.jpg
95,603.279.67,Fits perfectly in STUVA storage system or as a freestanding box for small items or clothes.,SLKTING,Box,"Grey,turquoise",27x42x26 cm,images/objects/603.279.67.jpg
96,903.279.18,"Inside organiser for socks, underwear and other small things. Fits perfectly in STUVA drawers.",SLKTING,Box with compartments,"Grey,green",25x41x9 cm,images/objects/903.279.18.jpg
97,203.279.31,"Inside organiser for socks, underwear and other small things. Fits perfectly in STUVA drawers.",SLKTING,Box with compartments,"Grey,turquoise",25x41x16 cm,images/objects/203.279.31.jpg
98,103.196.63,"A durable quilt cover of polyester and cotton with playful patterns in the form of small figures. Soft against your child's skin, and gets softer after each wash.",STJRNBILD,"Quilt cover,pillowcase for cot",Multicolour,"110x125,35x55 cm",images/couch/103.196.63.jpg
99,103.196.63,"A durable quilt cover of polyester and cotton with playful patterns in the form of small figures. Soft against your child's skin, and gets softer after each wash.",STJRNBILD,"Quilt cover,pillowcase for cot",Multicolour,"110x125,35x55 cm",images/couch/103.196.63.jpg
100,603.303.47,Gives a soft mood light.,DRMSYN,Wall lamp,White,Not known,images/objects/603.303.47.jpg
101,802.835.85,Diffused light that provides good general light in the room.,LYSBOJ,Ceiling lamp,White,Not known,images/objects/802.835.85.jpg
102,102.519.98,"Practical to bring along to create a cosy, familiar environment for your baby.",PYTTESM,Sleeping bag,"Light blue,green",0-6,images/objects/102.519.98.jpg
103,103.197.19,Soft knitted blanket that feels nice against the skin  perfect to put over your baby when it's time for a short nap.,DRMLAND,Blanket,Multicolour,85x115 cm,images/objects/103.197.19.jpg
104,502.675.58,Made of plastic which makes it easy to carry and move for children.,MAMMUT,Children's chair,"In,outdoor,light pink",Not known,images/chair/502.675.58.jpg
105,902.290.17,"Extendable, so it can be pulled out as your child grows.",BUSUNGE,Extendable bed,Light pink,80x200 cm,images/objects/902.290.17.jpg
106,902.290.17,"Extendable, so it can be pulled out as your child grows.",BUSUNGE,Extendable bed,Light pink,80x200 cm,images/objects/902.290.17.jpg
107,803.324.68,With this bed tent your child has their own cosy nook to sleep or read in.,SUFFLETT,Bed tent,Pink,"70,80,90",images/objects/803.324.68.jpg
108,802.290.08,You can adjust the height of the clothes rail and shelves as your child grows.,BUSUNGE,Wardrobe,Light pink,80x139 cm,images/objects/802.290.08.jpg
109,001.660.95,Safety tested and tamper-proof to protect little fingers.,SKOJIG,Pendant lamp,Blue,Not known,images/objects/001.660.95.jpg
110,003.218.69,Safety tested and tamper-proof to protect little fingers.,SNIG,Wall lamp,White,Not known,images/objects/003.218.69.jpg
111,203.323.53,If you combine many rugs you can create a colourful street with its own zebra crossing.,HEMMAHOS,Rug,Pink,50x75 cm,images/objects/203.323.53.jpg
112,703.323.55,If you combine many rugs you can create a colourful street with its own zebra crossing.,HEMMAHOS,Rug,Turquoise,50x75 cm,images/objects/703.323.55.jpg
113,903.296.58,"Made from 100% cotton, a natural material thats soft against your childs skin and gets softer with every wash.",HEMMAHOS,Quilt cover and pillowcase,Multicolour,"150x200,50x80 cm",images/objects/903.296.58.jpg
114,003.288.37,A trunk for toys that looks like a suitcase  perfect for everything needed when its time to go on an adventure at home.,FLYTTBAR,Trunk for toys,Turquoise,57x35x28 cm,images/objects/003.288.37.jpg
115,403.288.40,Imagine having your own bed storage box that looks like a suitcase with both a handle and an address holder. Perfect for both toys and secrets.,FLYTTBAR,Bed storage box,Dark grey,58x58x15 cm,images/objects/403.288.40.jpg
116,301.933.18,"The pencils are water-soluble, so with a wet brush your child can blend colours in their drawing for creative results.",MLA,Coloured pencil,Not known,Not known,images/objects/301.933.18.jpg
117,200.474.50,"A perfect place to keep pens, pencils and small accessories.",GLIS,Box with lid,"Pink,white,yellow",17x10 cm,images/objects/200.474.50.jpg
118,491.234.05,"A playful and sturdy storage series for storing and organising toys, sitting, playing and relaxing.",TROFAST,Storage combination with boxes,"White,white",99x56 cm,images/objects/491.234.05.jpg
119,402.735.93,Made of solid wood.,FLISAT,Children's stool,Not known,Not known,images/objects/402.735.93.jpg
120,403.122.31,Suitable for both indoor and outdoor use.,GUNGGUNG,Swing,Green,Not known,images/objects/403.122.31.jpg
121,503.323.23,Playing hopscotch on one or two legs helps your child develop both motor and balance skills.,HEMMAHOS,Rug,Grey,100x160 cm,images/objects/503.323.23.jpg
122,402.629.57,"Helps your child to develop coordination, balance and concentration.",IKEA PS 2014,Balancing bench,Not known,Not known,images/objects/402.629.57.jpg
123,303.288.31,A trunk for toys that looks like a suitcase  perfect for everything needed when its time to go on an adventure at home.,FLYTTBAR,Trunk for toys,Red,57x35x28 cm,images/objects/303.288.31.jpg
124,803.292.44,"Perfect for the little traveller who dreams of travelling  a storage box with an outer pocket, 2 pockets with zippers, a handle, a telescope handle, an address holder and wheels in foam.",FLYTTBAR,Storage box,Orange,Not known,images/objects/803.292.44.jpg
125,603.323.65,"A house with its own chimney and everything! Just big enough to fit in the bed, and nice and soft against your childs cheek.",HEMMAHOS,Cushion,Red,30x50 cm,images/objects/603.323.65.jpg
126,503.334.12,Soft and has moveable hands  perfect if you want to learn to tell the time.,HEMMAHOS,Soft toy,"Clock,red",Not known,images/objects/503.334.12.jpg
127,503.334.07,"Your own potted plant that never withers  perfect in a childs room. And even though it looks a little prickly, its soft and cosy to hug.",HEMMAHOS,Soft toy,"Cactus,green",Not known,images/objects/503.334.07.jpg
128,799.284.50,The cot base can be placed at two different heights.,STUVA,Cot with drawers,Green,60x120 cm,images/objects/799.284.50.jpg
129,498.759.62,Low storage makes it easier for children to reach and organise their things.,STUVA,Storage combination with doors,"White,white",60x50x128 cm,images/objects/498.759.62.jpg
130,901.767.59,The figures and patterns face downwards to meet the child's upward gaze.,LEKA,Mobile,Multicolour,Not known,images/objects/901.767.59.jpg
131,900.468.43,The thick curtains darken the room and provide privacy by preventing people outside from seeing into the room.,MERETE,"Curtains, 1 pair",White,145x300 cm,images/objects/900.468.43.jpg
132,002.290.12,You can adjust the height of the clothes rail and shelves as your child grows.,BUSUNGE,Wardrobe,Medium blue,80x139 cm,images/objects/002.290.12.jpg
133,201.745.08,The stand is a comfortable height for children and makes it easier for them to hang up their clothes by themselves.,KROKIG,Clothes stand,"White,multicolour",128 cm,images/objects/201.745.08.jpg
134,401.933.32,Hang the hooks at a child-friendly height so children can help keep their things tidy.,KROKIG,Wall hook,Multicolour,3 pack,images/objects/401.933.32.jpg
135,502.520.00,"Practical to bring along to create a cosy, familiar environment for your baby.",PYTTELILLA,Sleeping bag,"Dark blue,green",6-18,images/objects/502.520.00.jpg
136,002.662.45,"Different motifs, sounds and materials activate the baby and stimulate their senses and motor skills.",LEKA,Play mat,Blue,118x118 cm,images/objects/002.662.45.jpg
137,002.665.75,"A soft, cosy comfort blanket and friendly soft toy in one, helps small children to feel safe and secure.",LEKA,Comfort blanket with soft toy,Rabbit,Not known,images/objects/002.665.75.jpg
138,102.661.55,"Different motifs, sounds and materials activate the baby and stimulate their senses and motor skills.",LEKA,Playbook,Not known,Not known,images/objects/102.661.55.jpg
139,102.566.13,With waterproof backing.,TUTIG,Babycare mat,"Grey,white",90x70 cm,images/objects/102.566.13.jpg
140,102.696.96,Deep enough to hold standard-sized adult hangers.,SUNDVIK,Wardrobe,White,80x50x171 cm,images/objects/102.696.96.jpg
141,902.567.27,"The changing table has a long life, as its easy to convert into a chest of drawers when your child is past the nappy stage.",SUNDVIK,"Changing table,chest of drawers",White,Not known,images/dining table/902.567.27.jpg
142,902.567.27,"The changing table has a long life, as its easy to convert into a chest of drawers when your child is past the nappy stage.",SUNDVIK,"Changing table,chest of drawers",White,Not known,images/dining table/902.567.27.jpg
143,601.787.69,"Made of solid wood, which is a hardwearing and warm natural material.",HNGA,Children's coat-hanger,Natural,Not known,images/objects/601.787.69.jpg
144,502.642.63,"Cotton, soft and nice to baby skin.",BADET,Baby towel with hood,Light blue,60x125 cm,images/objects/502.642.63.jpg
145,700.108.78,Gives a soft mood light.,SMILA STJRNA,Wall lamp,Blue,28 cm,images/objects/700.108.78.jpg
146,001.327.98,"All soft toys are good at hugging, comforting and listening and are fond of play and mischief. In addition, they are reliable and tested for safety.",GOSIG GOLDEN,Soft toy,"Dog,golden retriever",40 cm,images/objects/001.327.98.jpg
147,402.584.70,The bedlinen feels soft against your skin and retains its vivid colours for a long time since the yarn is dyed before weaving.,KUSTRUTA,Quilt cover and 2 pillowcases,Blue check,"150x200,50x80 cm",images/couch/402.584.70.jpg
148,402.584.70,The bedlinen feels soft against your skin and retains its vivid colours for a long time since the yarn is dyed before weaving.,KUSTRUTA,Quilt cover and 2 pillowcases,Blue check,"150x200,50x80 cm",images/couch/402.584.70.jpg
149,402.160.84,"All soft toys are good at hugging, comforting and listening and are fond of play and mischief. In addition, they are reliable and tested for safety.",VANDRING HARE,Soft toy,Not known,Not known,images/objects/402.160.84.jpg
150,690.698.98,"Extendable, so it can be pulled out as your child grows.",TROGEN,Ext bed frame with slatted bed base,Light grey,80x200 cm,images/objects/690.698.98.jpg
151,690.698.98,"Extendable, so it can be pulled out as your child grows.",TROGEN,Ext bed frame with slatted bed base,Light grey,80x200 cm,images/objects/690.698.98.jpg
152,602.802.67,You can adjust the shelves and clothes rails to suit your needs. Full-length adult clothes will fit if the lower rail is removed.,TROGEN,Wardrobe,Light grey,89x187 cm,images/objects/602.802.67.jpg
153,003.323.30,"A quilt cover made of cotton and lyocell, soft natural materials that feel comfortable against your child's skin.",DRMLAND,Quilt cover and pillowcase,Multicolour,"150x200,50x80 cm",images/couch/003.323.30.jpg
154,003.323.30,"A quilt cover made of cotton and lyocell, soft natural materials that feel comfortable against your child's skin.",DRMLAND,Quilt cover and pillowcase,Multicolour,"150x200,50x80 cm",images/couch/003.323.30.jpg
155,903.022.39,Trying to hit targets helps develop the child's ability to estimate distances and coordinate movements.,LATTJO,Cone,Not known,Not known,images/objects/903.022.39.jpg
156,403.022.27,"Backgammon, chess, English draughts and Ludo are fun and educational classic games for the whole family to play together.",LATTJO,Board game,Not known,Not known,images/objects/403.022.27.jpg
157,703.022.40,"Games help develop childrens ability to think logically, win, lose and wait for their turn.",LATTJO,Kalaha game,Not known,Not known,images/objects/703.022.40.jpg
158,103.022.38,"Helps the child develop fine motor skills and hand,eye co-ordination.",LATTJO,Stacking game,Not known,Not known,images/objects/103.022.38.jpg
159,490.460.68,"Extendable, so it can be pulled out as your child grows.",SUNDVIK,Ext bed frame with slatted bed base,White,80x200 cm,images/objects/490.460.68.jpg
160,490.460.68,"Extendable, so it can be pulled out as your child grows.",SUNDVIK,Ext bed frame with slatted bed base,White,80x200 cm,images/objects/490.460.68.jpg
161,802.643.46,"Cotton, soft and nice against your child's skin.",LJUDLIG,Quilt cover and pillowcase,Multicolour,"150x200,50x80 cm",images/objects/802.643.46.jpg
162,802.017.40,Rocking helps develop the child's sense of balance and the brain to sort sensory impressions.,SUNDVIK,Rocking-chair,White,Not known,images/chair/802.017.40.jpg
163,491.023.04,A playful and sturdy storage series for storing and organising toys.,TROFAST,Wall storage,"Pine,white",93x21x30 cm,images/objects/491.023.04.jpg
164,101.493.50,"Joint holder for paper roll, pens and paints; place on a level surface.",MLA,"Paint,draw storage",Not known,Not known,images/objects/101.493.50.jpg
165,202.645.99,The flat-woven pattern is visible on both sides which makes the rug reversible.,RNDER,"Rug, flatwoven",Multicolour,70x140 cm,images/objects/202.645.99.jpg
166,902.921.03,The picture ledge has a special groove to keep smaller frames at the perfect angle.,MOSSLANDA,Picture ledge,White,115 cm,images/objects/902.921.03.jpg
167,001.934.90,Stamp pens with 6 different symbols make it easy for children to create personal cards and invitations.,MLA,Stamp pen,Assorted colours,Not known,images/objects/001.934.90.jpg
168,702.662.99,"The paint is ready to use, but you can also dilute it with water for a lighter effect.",MLA,"Fluorescent,glitter paint",Assorted colours,Not known,images/objects/702.662.99.jpg
169,802.644.31,The cushion is soft to hug and big enough to use as back support when reading or playing.,FJDERMOLN,Cushion,Light blue,59x34 cm,images/objects/802.644.31.jpg
170,702.485.64,The cot base can be placed at two different heights.,SUNDVIK,Cot,Grey-brown,60x120 cm,images/objects/702.485.64.jpg
171,802.902.08,A bed canopy gives privacy and creates a room-in-room feeling.,CHARMTROLL,Bed canopy,Beige,Not known,images/objects/802.902.08.jpg
172,102.901.84,"Cotton, soft and nice against your child's skin.",LSKAD,3-piece bedlinen set for cot,"White,beige","110x125,35x55 cm",images/objects/102.901.84.jpg
173,202.959.11,Adding a cot skirt to the cot gives a warm and cosy touch.,LEN,Cot skirt,White,60x120 cm,images/objects/202.959.11.jpg
174,602.901.86,"Cotton, soft and nice against your child's skin.",LSKAD,Blanket,Grey,70x90 cm,images/objects/602.901.86.jpg
175,302.902.01,Cotton is soft against your baby's skin and highly water absorbent.,LSKAD,Baby towel with hood,"White,beige",80x80 cm,images/objects/302.902.01.jpg
176,302.895.75,"By combining the different sizes you can use the wall space in the best way, and get more hooks to hang your things on.",KUBBIS,Rack with 3 hooks,White,Not known,images/objects/302.895.75.jpg
177,702.448.82,"All soft toys are good at hugging, comforting and listening and are fond of play and mischief. In addition, they are reliable and tested for safety.",BRUMMA,Soft toy with clothes,Bear,Not known,images/objects/702.448.82.jpg
178,002.485.67,The cot base can be placed at two different heights.,SUNDVIK,Cot,White,60x120 cm,images/objects/002.485.67.jpg
